Fe2O3,MnO,P2O5,SiO2,TiO2,Al2O3,CaO,Na2O,MgO,K2O,MAP
4.93,0.1,0.09,67.42,1.12,13.02,0.54,0.92,0.73,1.92,1178.16
4.56,0.09,0.11,66.22,0.92,11.66,0.09,0.31,0.55,2.51,1262.08
1.39,0.01,0.02,72.47,0.58,4.34,0.08,0.2,0.08,1.04,1146.56
4.67,0.13,0.09,70.06,0.67,12.62,0.77,1.21,1.2,2.41,891.97
4.89,0.06,0.08,72.32,0.81,10.21,0.1,0.11,0.86,1.5,1236.6
5.8,0.04,0.07,62.6,0.81,12.32,0.85,1.74,0.93,1.68,936.79
4.68,0.14,0.15,70.34,0.62,12.01,0.68,1.18,1.17,2.51,848.31
4.01,0.02,0.1,66.82,0.98,12.54,0.04,0.18,0.53,2.22,1325.11
3.32,0.16,0.18,59.65,0.45,6.36,1.52,3.46,0.66,1.93,1368.78
5.11,0.07,0.05,69.48,0.74,12.25,0.35,0.5,1.57,1.84,1361.84
4.57,0.09,0.14,64.89,0.6,10.78,2.59,2.26,0.89,2.84,380.24
3.9,0.14,0.12,70.9,0.66,10.87,0.73,1.05,0.89,2.34,841.95
4.71,0.08,0.1,65.87,0.96,13.67,0.13,0.31,0.74,2.62,1262.08
5.33,0.03,0.08,69.36,0.74,11.78,0.74,0.67,1.06,1.8,1028.17
4.64,0.06,0.12,69.86,0.71,10.54,0.57,0.64,0.79,1.93,1201.76
1.89,0.05,0.07,73.43,0.23,6.89,1.03,1.62,0.41,1.47,600.5
5.13,0.08,0.08,65.22,0.9,13.85,0.59,1.08,0.82,2.24,1222.34
3.83,0.06,0.14,68.19,0.52,12.73,0.53,1.92,0.42,1.99,1091.67
3.74,0.06,0.05,79.88,0.72,11.66,0.25,0.21,0.81,1.06,410.8
4.15,0.05,0.13,67.88,0.82,11.04,1.46,1.78,1.24,1.48,455
4.28,0.07,0.07,71.34,0.67,11.37,0.52,1.06,0.79,1.48,1119.42
1.25,0.02,0.1,80.79,0.58,5.13,0.17,0.11,0.15,0.45,1218.65
3.36,0.08,0.16,66.06,0.52,13.58,2.34,2.45,1.3,3.13,225.17
5.23,0.02,0.24,67.64,0.73,9.11,0.22,1.11,0.95,1.09,1040.35
4.27,0.08,0.13,68.08,0.55,12.57,2.25,1.66,1.71,2.94,346.33
3.69,0.12,0.15,69.59,0.62,10.51,0.99,1.45,0.95,2.13,783.77
5.9,0.05,0.06,65.79,0.67,11.27,0.46,1.28,1.11,1.21,968.68
5.15,0.14,0.06,75.05,0.54,11.21,1,0.93,0.85,1.79,755.98
5.46,0.09,0.05,63.69,1.01,12.58,0.12,0.34,1.04,2.03,1470.36
3.99,0.03,0.07,71.71,0.59,10.1,0.52,0.59,0.61,1.53,977.78
3.79,0.07,0.16,63.19,0.86,11.79,4.85,3.04,0.84,3.42,290.17
7.61,0.06,0.15,51.28,0.99,5.36,0.62,1.43,0.77,1.16,1332.07
5.55,0.09,0.2,68.49,0.9,13.16,2.81,2.28,1.76,2.06,297.86
5.18,0.04,0.13,58.19,0.75,7.55,0.84,1.56,1.04,1.53,1293.87
4.71,0.11,0.19,66.58,0.66,12.46,1.54,1.17,1.1,3.2,282.41
4.99,0.1,0.1,69.13,0.72,11.53,0.79,0.79,1.06,2.03,959.82
4.02,0.05,0.07,61.53,0.65,8.56,1.01,1.85,0.84,1.45,1231.54
5.03,0.09,0.15,65.95,0.6,12.01,1.13,1.07,1.47,2.72,867.66
4.46,0.07,0.09,66.05,0.74,10.84,0.86,0.73,1.12,2.18,973.97
4.87,0.04,0.23,67.49,0.63,8.73,0.2,1.11,0.8,1.27,1096.62
4.06,0.06,0.07,61.05,0.55,6.5,1.13,1.82,0.67,1.43,1286.95
3.1,0.03,0.05,70.66,0.94,12.51,0.03,0.12,0.47,1.64,1239.18
5.06,0.08,0.07,63.57,0.73,12.05,1.64,1.84,0.89,2.11,340.76
6.72,0.11,0.04,64.86,1.04,14.77,0.4,0.26,1.08,2.33,1047.65
4.88,0.11,0.14,67.42,0.62,12.56,0.69,1.05,1.29,2.47,891.97
4.48,0.14,0.09,66.56,0.69,11.21,0.73,1.44,1.05,1.93,1118.9
6.84,0.08,0.1,51.37,0.84,6.01,0.42,0.95,0.65,1.89,1235.4
5.04,0.04,0.15,62.05,1.01,9.04,0.38,0.77,0.57,1.38,1371.01
3.73,0.08,0.07,64.37,0.67,10.28,0.67,0.91,0.75,2.26,1049.21
